ip= 1 ,W-index= 17.2 ,Rc(GV)= 4.381 ,depth(g/cm2)= 1033.23 ,g= 0.15
Total Flux (/cm2/s)= 0.000349646
  Energy(MeV/n)              u              v              w              x              y              z
   1.737133e+02   1.951296e-01  -9.239971e-01   3.288674e-01  -1.107554e+02   8.753160e+01   7.573281e+00
   4.065814e+01  -7.738633e-02   5.111967e-01  -8.559727e-01   3.247124e+01  -9.947136e+01   5.448508e+01
   3.144287e+02  -1.965262e-01  -9.066199e-02  -9.762980e-01   6.139026e+01   5.028072e+01   8.540082e+01
   4.142152e+01   7.718341e-01  -3.824144e-01   5.079678e-01  -6.172922e+01   4.995512e+01  -6.546029e+01
   3.383417e+02   5.601847e-01   2.032963e-01  -8.030341e-01  -8.326824e+01   6.181251e+01   8.208949e+01
   3.836188e+02   3.850489e-01  -5.892450e-02  -9.210132e-01  -2.971289e+01  -3.303221e+01   9.826732e+01
   9.048469e+01   4.905073e-01  -1.610973e-02  -8.712881e-01  -1.994505e+01   2.808668e+01   1.030249e+02
   5.309466e+02   1.227006e-01  -2.002104e-01  -9.720393e-01   2.250749e+01   7.337274e+00   1.042064e+02
   5.224061e+02   4.561240e-01  -7.612135e-01  -4.609825e-01   2.122513e+00   1.224078e+02   1.689793e+01
   6.655059e+01   6.077517e-01   5.237273e-01  -5.969485e-01  -1.130411e+02   2.721206e+01   7.630603e+01
   4.195241e+01   4.541891e-01  -2.647009e-01  -8.506737e-01  -1.029261e+02   5.283241e+00   6.095595e+01
   8.447414e+01   7.294347e-01   2.445943e-01  -6.388260e-01  -1.221929e+02  -2.332775e+00   1.611968e+01
   1.720214e+02   2.967089e-01   9.447255e-01  -1.394900e-01  -1.110807e+02  -7.406239e+01  -2.098545e+01
   1.507854e+02   2.832989e-01  -9.342817e-01  -2.164703e-01   1.798758e+01   8.754952e+01   1.076357e+02
   2.272092e+02   8.049598e-01  -5.461299e-01  -2.319089e-01  -1.148401e+02  -6.332571e+00   4.750454e+01
   5.796731e+01  -1.636097e-01   8.768320e-02  -9.826207e-01   1.223635e+01  -3.048192e+01   9.701124e+01
   2.179441e+01   5.796659e-01  -7.327867e-01  -3.563861e-01  -2.786754e+01   9.085058e+01   4.846440e+01
   5.354790e+01   7.790312e-01   4.979779e-01  -3.809571e-01  -9.875416e+01  -2.823534e+01   2.364268e+01
   6.893208e+02  -6.807285e-01   7.232657e-01  -1.161703e-01   1.255850e+02  -1.475971e+01   3.301626e+01
   4.955231e+02  -1.017035e-01  -1.197677e-01  -9.875789e-01   2.446413e+01   5.695069e+01   9.183171e+01
   3.799435e+02  -3.914876e-02   1.302438e-01  -9.907088e-01   7.530124e+00  -2.268249e+01   9.765831e+01
   5.120786e+02   3.849350e-01  -1.958292e-01  -9.019290e-01  -2.792691e+01  -2.251538e+01   1.038431e+02
   1.063429e+02  -2.577236e-01  -3.207824e-01  -9.114149e-01  -2.620758e+01   3.460017e+01   1.049524e+02
   9.369904e+01   6.936515e-01  -3.863637e-01  -6.079233e-01  -9.863364e+01   5.608248e+01   1.630863e+01
   1.661796e+02  -9.343180e-02   5.267809e-01   8.448505e-01  -4.624267e+01  -8.055795e+01  -7.324864e+01
   3.358495e+02   1.158391e-01  -6.274254e-01  -7.700122e-01   5.234067e+01   1.263388e+02   3.479802e+01
   2.364597e+02   3.013287e-01   3.137412e-01  -9.004263e-01   3.070753e+01  -2.074246e+01   1.141074e+02
   4.293027e+02   6.149705e-01  -3.937197e-01  -6.832248e-01  -8.899654e+01  -2.311770e+01   7.958091e+01
   4.310581e+02   5.929510e-01   4.215974e-01  -6.860502e-01  -8.260561e+01   1.304831e+01   8.238472e+01
   2.480716e+02   2.127500e-01  -2.893346e-02  -9.766782e-01   1.433595e+01  -1.827645e+01   1.060521e+02
   1.606144e+02   8.767508e-01   3.314310e-02  -4.798016e-01  -7.974409e+01   5.772473e+01   6.668898e+01
   6.931507e+02   5.375877e-01   2.833566e-01  -7.941716e-01  -3.158284e+01  -1.118660e+02   6.462517e+01
   1.119123e+02   8.609766e-01   5.065095e-01   4.655594e-02  -8.068756e+01  -5.781098e+01  -2.680842e+01
   2.530853e+02   2.698762e-01  -2.351970e-04  -9.628950e-01   4.447644e+01  -2.320238e+01   1.163248e+02
   9.568687e+03  -1.599431e-01  -2.078606e-01  -9.649934e-01   2.926316e+01   5.115754e+01   8.775804e+01
   6.939919e+02  -1.532625e-01   1.095122e-02  -9.881248e-01  -1.588037e+01  -8.349783e+01   1.027395e+02
   2.143305e+02  -5.404710e-01   2.114290e-01  -8.143641e-01   6.163010e+00  -8.447207e+01   9.677395e+01
   1.101574e+01  -9.409976e-01   1.931627e-01  -2.778698e-01   9.413378e+01  -2.406425e+01   2.437121e+01
   1.071088e+03   1.751358e-01  -5.615920e-02  -9.829413e-01  -1.049593e+02  -3.382802e+01   8.496704e+01
   3.238986e+02   1.141586e-01  -2.180055e-01  -9.692479e-01  -1.039589e+02   5.134941e+01   7.937882e+01
   5.445828e+02  -4.452587e-02  -4.571570e-01  -8.882707e-01  -9.189784e+00   1.227677e+02   4.985535e+01
   3.503451e+02  -6.664258e-02  -6.532765e-01  -7.541807e-01  -2.031149e+01   7.928308e+01   6.571348e+01
   6.378586e+03   1.217851e-01  -4.449893e-01  -8.872164e-01  -3.532880e+01   1.251213e+02   4.510721e+01
   2.920081e+02  -8.375929e-01   2.935707e-01  -4.607107e-01   9.684736e+01  -1.903564e+01   2.885331e+01
   1.742537e+02   8.385955e-01   3.071899e-01  -4.498800e-01  -8.393731e+01  -3.809948e+01   3.980344e+01
   2.121255e+02  -4.384006e-01   7.878707e-01  -4.325097e-01   2.365553e+01  -1.127262e+02   1.886071e+00
   2.962811e+01   8.181751e-01  -5.382823e-01   2.020932e-01  -1.036578e+02   2.853543e+01   8.430965e-01
   2.053663e+02   2.254560e-01   9.085149e-01  -3.518099e-01  -9.771455e+01  -7.142347e+01   3.718024e+01
   1.143441e+02  -2.968822e-01   5.581360e-01  -7.748194e-01   6.562709e+01  -7.923018e+01   4.684352e+01
   1.679720e+03   2.074415e-02   4.313239e-01  -9.019586e-01  -3.235582e+01  -5.299646e+01   8.478234e+01
   2.882821e+02  -2.881479e-01   4.117003e-01  -8.645656e-01   3.955050e+01   6.169918e-01   1.027772e+02
   1.665653e+02   7.094592e-01   8.235274e-02  -6.999183e-01  -7.907666e+01  -9.363892e+01   5.170162e+01
   9.031080e+02   3.157837e-01  -1.643864e-01  -9.344826e-01  -6.345595e+01  -7.791170e+01   9.927341e+01
   4.341636e+02   5.114655e-01  -2.277314e-01  -8.285779e-01  -5.770221e+01  -6.526512e+01   1.030081e+02
   1.096705e+02   2.997775e-01   3.744445e-02  -9.532740e-01   3.890653e+01   4.273630e+01   1.188153e+02
   4.924737e+01   6.276956e-02  -9.170732e-01  -3.937469e-01   1.228708e+01   7.922853e+01   7.139838e+01
   2.231972e+02   1.453387e-01   9.860299e-01  -8.137398e-02  -7.101243e+01  -8.946425e+01   1.799982e+01
   2.719488e+02  -9.209562e-01  -2.124737e-01  -3.266413e-01   1.173666e+02  -4.563503e+01   4.918860e+00
   1.749812e+03  -2.843821e-01   1.484140e-01  -9.471537e-01   7.346191e+01  -5.125512e+01   7.549120e+01
   8.639822e+02  -2.734775e-02   2.824711e-01  -9.588859e-01  -7.356506e+01  -1.280031e+01   1.026150e+02
   7.043869e+00   5.992230e-01  -6.067756e-01  -5.222597e-01  -3.092405e+01   6.080285e+01   8.535200e+01
   8.769881e+01  -7.628388e-01  -2.547662e-01  -5.942821e-01   1.019444e+02  -5.845404e+00   3.991718e+01
   1.857204e+02  -8.061176e-02  -4.991486e-01  -8.627586e-01  -4.943579e+01   7.269668e+01   7.846767e+01
   3.751186e+02   5.689611e-01  -3.012526e-02  -8.218125e-01  -7.918188e+01  -7.548182e+01   6.962963e+01
   1.825759e+02  -2.169992e-01  -3.809383e-02  -9.754282e-01   1.843737e+01  -9.260058e+01   1.020338e+02
   8.086708e+01   7.738284e-01  -6.331160e-01   1.880819e-02  -8.020754e+01   6.200638e+01   7.040023e+01
   7.955508e+02   1.470004e-01  -2.314877e-01  -9.616675e-01  -9.894308e+01   5.234989e+00   8.760148e+01
   8.884091e+02  -1.057220e-01  -2.373122e-01  -9.656634e-01  -2.249528e+01   7.276968e+01   8.813538e+01
   2.944380e+02  -2.757654e-01  -3.726656e-01  -8.860439e-01   1.364493e+01   1.157235e+02   5.994175e+01
   1.553742e+01   9.540303e-01  -2.895773e-01  -7.727266e-02  -1.168690e+02  -3.136836e+01  -3.122726e+01
   2.026443e+02  -7.018973e-02  -6.592270e-01  -7.486609e-01  -5.680861e+00   7.114183e+01   7.146108e+01
   3.212197e+02   9.171095e-02  -8.452528e-01  -5.264379e-01   2.719103e+01   6.208224e+01   9.501317e+01
   3.229141e+02   1.066284e-01  -6.928921e-01  -7.131135e-01  -1.474742e+01   1.269498e+02   1.467508e+01
   1.064480e+02   4.993768e-01   7.756121e-01  -3.860682e-01  -7.624908e+01  -4.248068e+01   7.505008e+01
   5.623154e+01  -2.288341e-02  -6.041408e-01  -7.965489e-01   3.061961e-01   1.089237e+02   4.291980e+01
   4.781451e+02   1.584172e-01  -1.796412e-01  -9.708929e-01   6.534785e+00   4.598527e+01   9.555572e+01
   2.845107e+02   2.579789e-03   9.109748e-01  -4.124538e-01  -1.290324e+01  -8.430033e+01   5.617897e+01
   1.589806e+02  -2.654861e-01   9.083902e-01  -3.230238e-01   8.086309e+01  -7.341232e+01   3.666895e+01
   7.499112e+02   5.628137e-01   9.749636e-02  -8.208137e-01   2.060614e+01  -1.793350e+01   1.338293e+02
   4.625199e+02  -3.189515e-01  -6.209969e-01  -7.159838e-01   5.691650e+01   2.906976e+01   8.910002e+01
   5.464063e+02  -6.303861e-02  -2.815293e-01  -9.574797e-01   1.606768e+01  -7.239233e+00   1.055116e+02
   3.454303e+02  -1.668289e-01   3.928967e-01  -9.043231e-01   6.013009e+01  -2.819638e+01   8.723685e+01
   3.770134e+02  -5.526870e-01  -6.365032e-01  -5.379598e-01   6.421371e+01   6.387416e+01   4.434126e+01
   3.947185e+01   4.293602e-02  -1.409359e-01  -9.890872e-01  -6.401143e+01  -6.493706e+01   1.075775e+02
   7.350723e+02  -5.994483e-01   4.501764e-01  -6.618179e-01  -1.145151e+01  -6.275694e+01   1.187833e+02
   3.157554e+01   2.120674e-01   1.337061e-01  -9.680651e-01  -7.696398e+01  -4.191314e+01   8.064995e+01
   6.481020e+01   6.990203e-02  -6.954482e-01  -7.151682e-01   4.842939e+01   1.071685e+02   4.034743e+01
   5.849064e+01  -7.910379e-01   2.178698e-01  -5.716570e-01   8.029726e+01   3.668669e+00   6.521588e+01
   7.034068e+02  -1.045101e-01   3.133376e-01  -9.438735e-01  -3.091187e+01  -2.264408e+01   1.018520e+02
   1.880747e+02  -4.375722e-04  -1.935546e-02  -9.998126e-01   2.088662e+01  -6.774986e+01   1.013212e+02
   2.346452e+02  -4.979091e-01   1.286976e-01  -8.576267e-01   9.025663e+01  -9.521270e+01   4.991305e+01
   4.975110e+02   7.261349e-01   4.066370e-01   5.544136e-01  -1.182331e+02  -2.871820e+01  -4.453263e+00
   1.629053e+03   5.956795e-01   9.524932e-02  -7.975547e-01  -1.108158e+02   6.311213e+01   5.015416e+01
   2.210174e+03  -8.248311e-02  -1.705458e-04  -9.965924e-01  -2.521227e+01   5.357470e+00   1.024277e+02
   1.252505e+02   2.037815e-01   2.944062e-01  -9.337013e-01   6.218683e+01  -6.445524e+01   1.003495e+02
   6.575953e+02  -1.657653e-01   1.926004e-01  -9.671747e-01   5.737637e+01  -9.320203e+01   7.500015e+01
   1.885184e+02   2.729759e-01  -7.065073e-01  -6.529407e-01   5.608767e+01   7.848473e+01   9.167838e+01
   5.839889e+00  -6.367485e-01   4.019325e-01   6.580286e-01   1.542716e+01  -1.930616e+01  -1.252484e+02
   1.812673e+02   1.639177e-01   7.993656e-01  -5.780532e-01  -2.861079e+01  -7.161527e+01   6.584756e+01
   1.918319e+02   2.242864e-01   3.219749e-01  -9.197977e-01   2.450411e+01   3.056874e+01   1.253953e+02
   1.756106e+01   3.264722e-01   2.980002e-01  -8.970016e-01   5.673705e+01  -6.013242e+01   1.121554e+02
   2.924507e+03  -1.869844e-01   2.638770e-01  -9.462588e-01   8.703133e+01   4.145302e+01   1.000413e+02
   2.917209e+02  -3.129333e-02  -7.461171e-01  -6.650789e-01   1.978111e+01   7.537564e+01   6.486738e+01
   1.442863e+04  -5.095212e-02   2.179392e-01  -9.746314e-01   2.652749e+01   7.113333e+01   1.171223e+02
   1.249918e+03  -2.588603e-01   3.855153e-01  -8.856463e-01   1.111721e+01   1.957606e+01   1.181838e+02
   8.373455e+00  -1.835407e-01   6.387684e-01  -7.471866e-01   1.799721e+01  -1.032156e+02   4.117567e+01
